Channel_0,Channel_1
219.72656,223.99902
221.55762,220.94727
217.28516,219.72656
222.77832,227.05078
219.11621,229.49219
215.4541,231.9336
228.27148,237.42676
231.9336,236.20605
233.76465,238.64746
231.9336,238.64746
231.9336,236.8164
233.76465,239.25781
228.27148,232.54395
224.60938,234.98535
231.32324,228.27148
230.10254,231.32324
223.38867,238.64746
228.27148,229.49219
223.99902,230.10254
219.72656,227.05078
223.38867,226.44043
223.38867,235.5957
224.60938,230.10254
225.83008,234.375
228.27148,242.91992
238.03711,239.86816
231.32324,246.58203
243.53027,239.86816
234.375,238.64746
226.44043,234.375
231.32324,233.1543
229.49219,236.8164
233.76465,230.10254
230.10254,233.76465
225.83008,233.76465
224.60938,233.76465
223.38867,233.76465
220.94727,236.8164
222.77832,233.76465
225.83008,237.42676
227.05078,236.8164
228.27148,241.08887
229.49219,249.02344
236.20605,237.42676
236.20605,239.25781
234.98535,241.08887
232.54395,232.54395
231.32324,228.27148
230.71289,229.49219
237.42676,230.10254
230.71289,227.66113
231.32324,223.99902
227.05078,226.44043
226.44043,229.49219
225.21973,223.38867
223.99902,230.10254
223.99902,219.11621
222.77832,227.05078
220.94727,236.20605
222.16797,233.76465
231.32324,236.20605
234.375,242.91992
231.9336,242.30957
242.91992,234.98535
238.03711,234.375
236.20605,231.9336
233.76465,234.375
231.9336,229.49219
230.10254,234.98535
221.55762,232.54395
227.66113,222.77832
226.44043,225.83008
223.38867,227.05078
223.38867,232.54395
218.50586,231.32324
225.83008,232.54395
211.18164,235.5957
219.11621,239.86816
220.94727,236.20605
222.77832,243.53027
224.60938,238.03711
223.99902,234.375
222.16797,236.8164
219.72656,234.375
221.55762,234.375
216.6748,236.8164
224.60938,237.42676
220.33691,238.03711
219.72656,234.375
216.6748,231.32324
213.62305,244.75098
216.06445,229.49219
219.72656,243.53027
219.72656,233.76465
221.55762,246.58203
227.66113,242.91992
233.76465,241.08887
230.71289,241.69922
238.03711,241.69922
230.10254,245.97168
229.49219,234.98535
223.99902,237.42676
223.38867,230.10254
218.50586,236.20605
221.55762,225.83008
224.60938,231.32324
222.16797,224.60938
218.50586,229.49219
216.6748,230.10254
215.4541,234.98535
216.6748,232.54395
219.11621,245.36133
225.21973,244.75098
232.54395,239.86816
227.66113,240.47852
231.32324,238.03711
237.42676,239.86816
232.54395,239.25781
231.32324,239.25781
232.54395,239.25781
227.05078,238.03711
228.27148,224.60938
219.72656,234.375
226.44043,231.9336
218.50586,226.44043
217.89551,234.98535
219.72656,226.44043
216.6748,236.20605
220.33691,236.20605
217.89551,238.64746
222.77832,244.75098
231.32324,239.25781
230.10254,242.30957
226.44043,236.8164
232.54395,237.42676
227.05078,238.03711
233.76465,239.25781
222.16797,233.76465
225.83008,232.54395
226.44043,227.05078
222.16797,233.1543
225.83008,229.49219
225.21973,230.10254
225.21973,234.375
222.77832,231.32324
222.16797,233.76465
222.77832,236.20605
237.42676,241.08887
234.98535,242.30957
234.375,241.69922
239.25781,233.76465
231.9336,239.25781
240.47852,232.54395
228.27148,230.10254
226.44043,227.66113
230.71289,233.76465
224.60938,227.66113
225.83008,226.44043
220.94727,225.83008
219.72656,222.77832
218.50586,225.83008
216.06445,220.33691
221.55762,230.10254
226.44043,227.66113
220.94727,242.30957
223.38867,241.08887
230.10254,237.42676
232.54395,233.76465
232.54395,231.32324
236.20605,236.8164
227.05078,238.64746
237.42676,238.64746
223.38867,229.49219
231.32324,229.49219
229.49219,220.33691
227.05078,226.44043
227.05078,219.11621
227.05078,221.55762
224.60938,225.21973
223.99902,214.84375
220.94727,228.27148
220.94727,226.44043
225.21973,230.10254
224.60938,236.8164
234.375,229.49219
227.66113,226.44043
223.38867,233.1543
223.99902,227.05078
221.55762,231.32324
225.83008,221.55762
220.33691,225.83008
222.77832,223.38867
221.55762,220.33691
229.49219,219.11621
217.28516,223.99902
217.89551,224.60938
217.89551,225.21973
219.11621,232.54395
222.77832,231.32324
219.11621,230.10254
231.32324,234.98535
227.05078,231.32324
222.77832,239.86816
225.83008,234.98535
216.6748,237.42676
227.66113,230.71289
226.44043,227.66113
220.94727,233.76465
229.49219,222.16797
220.33691,223.99902
222.77832,230.10254
223.38867,226.44043
219.11621,226.44043
222.16797,226.44043
222.77832,219.11621
222.77832,226.44043
222.16797,228.27148
225.21973,229.49219
227.66113,234.98535
233.76465,233.76465
233.76465,232.54395
232.54395,234.98535
231.32324,227.05078
230.71289,231.9336
233.1543,224.60938
227.66113,225.21973
230.10254,223.38867
230.10254,225.83008
224.60938,223.99902
230.71289,220.94727
232.54395,225.83008
223.99902,224.60938
222.77832,223.38867
223.38867,225.21973
220.94727,228.27148
234.375,229.49219
235.5957,235.5957
233.1543,236.20605
236.20605,223.99902
238.64746,227.66113
237.42676,223.99902
231.32324,223.38867
232.54395,219.11621
223.38867,221.55762
221.55762,223.38867
219.72656,220.94727
219.72656,223.38867
216.06445,220.33691
220.33691,218.50586
214.2334,220.94727
220.33691,216.06445
220.33691,222.16797
222.77832,236.20605
225.21973,235.5957
231.32324,226.44043
227.05078,232.54395
236.20605,228.27148
229.49219,232.54395
227.66113,231.9336
229.49219,224.60938
222.16797,229.49219
233.1543,227.05078
222.77832,233.1543
221.55762,224.60938
227.66113,223.99902
221.55762,226.44043
219.11621,222.16797
217.89551,221.55762
214.84375,230.10254
222.16797,234.375
220.94727,231.32324
219.72656,238.64746
231.32324,230.71289
223.99902,234.375
223.99902,226.44043
220.33691,223.99902
214.2334,230.10254
222.77832,223.38867
215.4541,227.66113
211.18164,225.83008
217.89551,222.77832
213.62305,218.50586
217.28516,217.89551
217.28516,213.62305
214.84375,223.38867
219.72656,222.16797
223.38867,223.99902
218.50586,227.66113
223.38867,228.27148
229.49219,226.44043
225.83008,227.05078
222.16797,216.6748
216.06445,222.16797
225.83008,219.11621
213.62305,218.50586
218.50586,217.28516
216.6748,219.72656
214.2334,225.83008
217.89551,219.11621
209.96094,216.06445
213.0127,219.72656
212.40234,226.44043
207.51953,223.38867
212.40234,227.66113
212.40234,229.49219
211.79199,230.10254
222.16797,234.98535
227.66113,230.10254
219.72656,229.49219
225.83008,225.21973
219.11621,231.32324
216.6748,226.44043
223.38867,218.50586
221.55762,223.99902
216.06445,220.33691
220.94727,224.60938
216.6748,219.72656
214.2334,222.77832
209.35059,216.6748
213.0127,224.60938
209.96094,221.55762
209.96094,230.71289
214.2334,231.9336
217.28516,231.9336
218.50586,231.9336
222.77832,232.54395
226.44043,237.42676
209.96094,232.54395
217.28516,234.98535
218.50586,233.1543
219.72656,231.9336
222.16797,233.76465
211.18164,234.98535
220.94727,231.9336
216.06445,235.5957
213.62305,234.98535
213.62305,228.27148
211.79199,230.71289
220.33691,234.98535
215.4541,227.66113
219.11621,242.30957
227.66113,241.08887
222.16797,234.98535
223.38867,241.08887
224.60938,236.20605
223.38867,236.8164
223.38867,233.76465
220.94727,235.5957
211.79199,237.42676
217.28516,229.49219
220.94727,232.54395
217.28516,231.9336
219.72656,231.9336
219.72656,236.8164
225.21973,239.25781
217.28516,229.49219
212.40234,236.8164
220.94727,238.03711
217.89551,243.53027
227.05078,243.53027
225.21973,239.86816
227.05078,239.86816
225.83008,242.30957
220.94727,233.76465
213.0127,230.71289
225.83008,236.20605
223.38867,227.05078
220.94727,223.99902
223.38867,223.99902
215.4541,230.10254
225.21973,230.10254
222.77832,223.38867
218.50586,230.10254
222.77832,233.1543
216.6748,239.25781
220.33691,238.03711
230.10254,241.08887
221.55762,235.5957
223.38867,242.30957
221.55762,231.32324
220.94727,242.30957
225.21973,230.71289
219.11621,233.76465
217.28516,238.64746
216.06445,233.76465
216.6748,241.08887
223.99902,233.1543
222.16797,231.9336
221.55762,236.8164
222.16797,238.64746
224.60938,233.1543
217.89551,240.47852
220.94727,239.25781
227.05078,241.08887
229.49219,246.58203
226.44043,237.42676
230.10254,237.42676
225.83008,242.30957
227.05078,238.03711
220.94727,231.32324
225.21973,225.83008
219.72656,231.9336
231.9336,226.44043
222.77832,226.44043
222.16797,230.71289
221.55762,233.1543
218.50586,223.99902
219.11621,232.54395
220.94727,228.27148
223.38867,236.20605
230.10254,242.91992
236.20605,239.25781
227.66113,239.25781
239.25781,236.8164
234.98535,234.375
225.83008,232.54395
228.27148,223.99902
224.60938,223.38867
231.32324,227.66113
222.77832,229.49219
229.49219,233.76465
229.49219,222.16797
222.77832,233.1543
221.55762,223.99902
222.16797,226.44043
223.38867,227.66113
229.49219,231.9336
222.16797,238.03711
227.66113,236.8164
231.9336,239.25781
227.66113,233.1543
236.20605,228.27148
229.49219,223.38867
227.05078,227.05078
226.44043,225.21973
227.66113,231.9336
222.77832,227.66113
218.50586,231.9336
218.50586,232.54395
220.94727,230.10254
227.05078,222.77832
222.77832,234.375
227.66113,226.44043
218.50586,225.83008
223.99902,239.86816
228.27148,236.20605
228.27148,242.30957
234.375,241.69922
229.49219,234.375
228.27148,234.375
233.76465,231.32324
225.83008,233.1543
223.38867,228.27148
223.38867,231.32324
216.6748,231.9336
222.16797,232.54395
219.11621,225.83008
216.6748,225.83008
220.33691,223.99902
216.6748,227.05078
216.6748,223.38867
221.55762,234.98535
222.16797,243.53027
227.05078,238.64746
237.42676,239.86816
218.50586,237.42676
229.49219,236.8164
221.55762,231.32324
231.32324,238.64746
215.4541,228.27148
222.16797,231.9336
220.33691,226.44043
225.21973,230.71289
225.83008,229.49219
223.99902,228.27148
221.55762,224.60938
220.94727,225.83008
223.38867,233.1543
220.94727,233.76465
219.11621,239.86816
219.72656,241.69922
225.83008,241.69922
236.8164,240.47852
229.49219,238.64746
227.05078,232.54395
228.27148,231.9336
223.38867,233.1543
225.83008,231.9336
225.83008,227.05078
212.40234,232.54395
226.44043,222.16797
219.72656,227.66113
230.10254,225.21973
217.89551,227.05078
219.11621,230.10254
226.44043,223.99902
227.66113,229.49219
222.77832,227.05078
230.10254,224.60938
241.08887,220.33691
234.98535,227.05078
238.64746,219.11621
232.54395,221.55762
233.76465,216.6748
227.66113,214.84375
231.32324,213.0127
227.66113,213.0127
223.99902,207.51953
229.49219,211.18164
234.375,209.35059
225.83008,215.4541
227.05078,216.06445
223.99902,216.6748
231.32324,209.96094
231.32324,221.55762
224.60938,224.60938
236.8164,231.32324
239.25781,223.99902
237.42676,220.33691
241.69922,219.72656
234.375,218.50586
227.66113,220.94727
241.08887,216.6748
230.10254,219.72656
234.98535,222.77832
238.64746,217.89551
229.49219,221.55762
236.8164,219.11621
229.49219,208.12988
228.27148,211.79199
232.54395,209.96094
228.27148,211.18164
232.54395,216.6748
238.03711,214.2334
243.53027,219.11621
244.14062,217.28516
242.30957,209.96094
234.98535,211.79199
226.44043,209.96094
234.98535,209.96094
230.71289,214.2334
223.99902,209.35059
227.66113,214.84375
229.49219,212.40234
228.27148,214.2334
217.89551,216.06445
228.27148,213.62305
224.60938,207.51953
234.375,211.18164
233.76465,214.84375
231.32324,222.77832
239.86816,222.16797
235.5957,220.94727
238.03711,229.49219
236.20605,214.2334
232.54395,221.55762
229.49219,211.79199
230.10254,212.40234
222.77832,216.6748
223.99902,222.16797
226.44043,216.06445
226.44043,217.89551
222.77832,211.79199
216.06445,214.2334
218.50586,217.28516
218.50586,211.79199
216.6748,219.72656
220.94727,218.50586
230.10254,223.38867
228.27148,230.10254
236.8164,229.49219
232.54395,222.77832
232.54395,219.11621
228.27148,218.50586
227.66113,211.79199
230.10254,219.72656
217.28516,213.62305
223.38867,213.62305
216.06445,209.35059
222.77832,215.4541
223.99902,208.74023
219.72656,209.35059
222.77832,213.0127
223.38867,214.84375
221.55762,217.28516
224.60938,225.21973
233.76465,223.99902
231.9336,223.38867
242.30957,224.60938
233.1543,219.11621
228.27148,218.50586
227.05078,216.06445
225.21973,213.0127
229.49219,216.06445
227.66113,213.0127
221.55762,219.72656
224.60938,220.94727
226.44043,216.6748
222.77832,219.72656
225.21973,219.72656
222.77832,216.6748
230.10254,223.99902
227.05078,231.32324
228.27148,230.71289
237.42676,231.9336
239.86816,233.1543
239.25781,231.32324
231.32324,223.38867
230.10254,226.44043
233.1543,222.16797
228.27148,221.55762
229.49219,220.94727
222.77832,223.38867
221.55762,219.72656
219.72656,222.16797
225.83008,218.50586
222.77832,219.72656
220.33691,218.50586
222.77832,221.55762
225.83008,224.60938
225.21973,229.49219
231.9336,229.49219
234.375,231.9336
239.86816,223.99902
231.32324,229.49219
237.42676,222.77832
227.05078,217.89551
224.60938,222.16797
231.9336,225.83008
229.49219,218.50586
226.44043,222.77832
229.49219,220.94727
223.99902,218.50586
221.55762,213.0127
227.66113,215.4541
226.44043,225.83008
225.83008,221.55762
223.38867,223.38867
229.49219,230.10254
236.20605,220.33691
235.5957,225.83008
237.42676,219.11621
230.10254,217.28516
227.66113,217.89551
228.27148,217.28516
231.32324,216.06445
217.28516,209.96094
228.27148,214.84375
220.94727,217.28516
228.27148,222.77832
223.38867,209.96094
225.21973,214.84375
226.44043,214.2334
217.89551,217.89551
227.05078,230.10254
229.49219,220.33691
238.64746,228.27148
236.8164,222.16797
241.69922,222.77832
238.64746,219.11621
233.76465,220.94727
234.375,213.62305
239.25781,225.83008
227.66113,217.89551
232.54395,216.6748
230.10254,216.6748
229.49219,217.89551
231.9336,217.28516
228.27148,212.40234
231.9336,214.2334
222.77832,220.94727
224.60938,221.55762
221.55762,223.38867
234.375,227.66113
233.76465,223.38867
233.76465,225.83008
241.08887,216.06445
231.32324,217.28516
239.25781,221.55762
225.21973,221.55762
231.32324,220.94727
231.32324,211.79199
231.32324,209.35059
228.27148,204.46777
233.1543,205.68848
221.55762,207.51953
219.72656,208.12988
227.05078,206.29883
222.77832,212.40234
225.83008,214.2334
229.49219,217.28516
233.76465,224.60938
242.91992,221.55762
241.08887,219.11621
234.98535,212.40234
231.32324,217.89551
225.83008,210.57129
223.38867,216.06445
225.83008,207.51953
216.6748,215.4541
219.11621,208.12988
219.11621,209.35059
213.62305,218.50586
213.62305,214.2334
216.6748,223.38867
213.0127,215.4541
214.2334,217.28516
211.18164,222.16797
226.44043,227.05078
227.05078,228.27148
222.16797,227.66113
227.05078,223.99902
223.38867,222.16797
230.71289,227.66113
225.21973,219.72656
226.44043,216.6748
220.33691,218.50586
214.2334,214.2334
213.62305,211.79199
218.50586,214.84375
208.74023,220.33691
219.72656,214.84375
0.0,6.713867
43.33496,42.114258
95.21484,98.87695
113.52539,122.680664
134.8877,129.39453
139.16016,136.71875
139.16016,137.3291
138.5498,142.21191
145.26367,141.60156
142.21191,144.65332
152.58789,134.27734
153.19824,144.65332
153.8086,147.09473
155.0293,145.87402
156.86035,150.75684
149.53613,145.26367
148.92578,143.43262
155.0293,145.87402
156.86035,150.75684
153.8086,149.53613
159.91211,158.6914
166.62598,153.8086
156.25,153.19824
166.01562,155.0293
158.08105,150.14648
158.08105,153.8086
162.35352,147.70508
158.6914,148.31543
162.35352,156.86035
162.35352,145.87402
161.13281,156.86035
159.30176,149.53613
152.58789,150.75684
156.25,153.8086
158.08105,155.63965
157.4707,158.08105
164.18457,158.6914
158.08105,160.52246
164.79492,177.6123
170.28809,168.45703
173.9502,175.1709
168.45703,167.84668
167.84668,175.1709
173.33984,169.67773
172.72949,175.78125
173.9502,167.23633
171.50879,170.28809
167.84668,170.89844
171.50879,168.45703
169.06738,176.3916
167.84668,172.11914
162.96387,173.9502
173.33984,168.45703
166.62598,171.50879
159.91211,171.50879
170.28809,172.72949
169.06738,173.9502
175.1709,177.6123
175.78125,178.22266
173.33984,178.22266
179.44336,174.56055
174.56055,170.89844
172.11914,172.72949
175.1709,172.11914
169.06738,176.3916
171.50879,175.1709
170.89844,170.28809
170.89844,170.28809
171.50879,168.45703
177.00195,169.06738
169.06738,168.45703
169.67773,166.01562
169.67773,167.84668
173.33984,172.72949
183.10547,169.06738
177.00195,177.00195
186.76758,175.1709
178.83301,171.50879
180.66406,171.50879
176.3916,164.18457
177.6123,170.28809
175.78125,165.40527
178.83301,167.23633
173.9502,162.35352
178.22266,166.01562
169.06738,153.19824
172.11914,168.45703
170.28809,158.6914
176.3916,162.35352
172.11914,167.84668
173.9502,172.11914
175.78125,180.66406
187.37793,178.22266
184.93652,177.6123
180.66406,180.05371
181.88477,174.56055
177.6123,172.72949
176.3916,175.1709
173.9502,169.06738
171.50879,174.56055
174.56055,169.67773
167.84668,160.52246
165.40527,170.89844
165.40527,165.40527
164.79492,167.23633
169.06738,160.52246
161.74316,166.01562
159.30176,164.79492
165.40527,180.05371
164.18457,175.1709
173.9502,178.22266
176.3916,178.83301
177.00195,182.49512
174.56055,178.22266
175.1709,177.6123
173.33984,180.66406
167.84668,171.50879
173.9502,175.1709
169.06738,173.33984
173.9502,183.10547
173.33984,169.67773
174.56055,175.1709
172.72949,167.84668
172.11914,176.3916
173.33984,175.1709
172.11914,178.22266
175.1709,189.20898
183.71582,183.71582
184.93652,183.10547
184.93652,184.32617
186.76758,183.10547
179.44336,187.98828
186.15723,183.10547
178.22266,177.00195
180.05371,184.32617
183.71582,177.00195
175.1709,177.00195
180.05371,178.83301
176.3916,173.9502
175.78125,180.05371
181.88477,181.88477
177.6123,186.76758
172.11914,181.27441
183.10547,187.98828
181.27441,189.81934
185.54688,192.8711
187.98828,192.26074
184.32617,197.7539
184.32617,185.54688
182.49512,185.54688
184.93652,197.7539
181.88477,183.71582
184.93652,187.98828
178.22266,184.93652
180.66406,183.71582
187.98828,186.76758
187.98828,187.98828
181.88477,180.66406
180.66406,184.93652
187.37793,184.32617
180.05371,190.42969
189.20898,193.48145
187.98828,186.76758
195.3125,197.7539
192.8711,194.70215
193.48145,191.65039
190.42969,189.20898
192.8711,192.26074
193.48145,189.81934
189.20898,190.42969
189.20898,184.32617
188.59863,188.59863
195.92285,183.10547
187.37793,187.98828
187.98828,189.81934
181.88477,184.93652
190.42969,191.04004
194.70215,186.76758
187.98828,195.3125
197.14355,203.24707
195.92285,199.58496
195.92285,198.36426
191.65039,198.97461
192.8711,196.5332
191.04004,191.65039
197.14355,189.20898
184.93652,178.83301
187.98828,188.59863
181.88477,184.32617
186.15723,180.05371
179.44336,186.76758
186.15723,182.49512
179.44336,186.15723
183.10547,189.20898
185.54688,175.1709
181.88477,197.14355
189.20898,194.70215
192.26074,192.26074
197.14355,196.5332
188.59863,196.5332
193.48145,200.80566
188.59863,196.5332
187.37793,191.65039
184.32617,194.0918
191.04004,189.20898
191.04004,189.81934
183.10547,188.59863
188.59863,186.76758
181.27441,188.59863
192.26074,188.59863
182.49512,184.32617
189.81934,194.0918
181.27441,190.42969
183.71582,194.0918
187.37793,205.07812
188.59863,196.5332
184.93652,202.02637
183.71582,197.7539
191.04004,192.8711
173.9502,192.8711
185.54688,193.48145
177.00195,197.14355
183.71582,190.42969
178.22266,191.65039
168.45703,189.81934
176.3916,188.59863
174.56055,190.42969
178.22266,183.10547
177.6123,181.88477
177.6123,186.15723
186.15723,185.54688
176.3916,191.65039
183.71582,195.3125
185.54688,197.14355
187.37793,192.26074
189.81934,192.26074
183.10547,184.93652
180.66406,194.70215
179.44336,186.76758
173.33984,183.71582
174.56055,187.98828
173.9502,178.22266
177.00195,183.10547
169.67773,187.37793
183.71582,178.83301
173.33984,177.00195
172.72949,187.98828
173.33984,184.93652
167.84668,189.20898
178.22266,191.04004
175.1709,191.65039
182.49512,197.7539
184.32617,194.70215
181.27441,191.04004
183.10547,196.5332
177.6123,191.04004
181.88477,191.65039
183.10547,192.26074
178.83301,185.54688
180.05371,194.0918
181.27441,189.20898
185.54688,190.42969
181.88477,188.59863
178.83301,189.20898
178.83301,190.42969
182.49512,192.8711
184.93652,196.5332
183.71582,194.0918
191.65039,196.5332
185.54688,194.70215
198.97461,197.14355
188.59863,197.7539
189.20898,195.3125
193.48145,196.5332
189.81934,190.42969
185.54688,196.5332
188.59863,189.20898
187.37793,192.8711
186.76758,194.70215
184.93652,192.26074
180.05371,194.70215
184.93652,190.42969
186.15723,201.41602
186.76758,197.14355
191.65039,201.41602
193.48145,200.80566
198.97461,197.7539
201.41602,194.70215
192.8711,203.85742
197.14355,194.0918
194.70215,189.20898
192.8711,189.20898
192.8711,184.93652
186.76758,194.0918
189.20898,187.37793
188.59863,190.42969
189.81934,194.70215
188.59863,192.8711
183.71582,193.48145
188.59863,185.54688
185.54688,195.3125
184.93652,205.68848
193.48145,207.51953
197.7539,197.7539
197.7539,202.02637
203.85742,203.85742
195.92285,203.85742
195.3125,201.41602
194.70215,199.58496
194.70215,202.02637
200.80566,201.41602
194.0918,200.80566
194.0918,202.02637
197.7539,200.19531
201.41602,196.5332
203.24707,197.14355
199.58496,197.14355
197.7539,197.7539
200.19531,207.51953
202.02637,211.79199
207.51953,206.90918
208.12988,211.79199
205.07812,209.35059
210.57129,201.41602
202.63672,200.19531
198.36426,197.7539
201.41602,202.63672
191.04004,194.70215
193.48145,198.97461
189.20898,192.8711
192.8711,202.63672
197.14355,196.5332
189.20898,195.3125
190.42969,197.14355
186.76758,194.70215
189.81934,198.36426
186.76758,205.07812
195.92285,203.85742
199.58496,209.35059
202.63672,203.24707
203.85742,201.41602
204.46777,202.02637
205.07812,206.90918
195.92285,198.36426
198.36426,199.58496
201.41602,190.42969
196.5332,200.19531
195.92285,199.58496
201.41602,198.36426
197.14355,194.70215
199.58496,202.02637
201.41602,192.8711
206.29883,197.7539
194.70215,202.02637
200.19531,202.63672
212.40234,205.07812
202.63672,197.14355
206.90918,204.46777
208.74023,197.7539
202.02637,193.48145
198.36426,193.48145
199.58496,195.92285
202.63672,187.98828
206.90918,188.59863
207.51953,187.98828
200.80566,192.8711
205.07812,193.48145
205.68848,183.71582
202.63672,191.65039
201.41602,187.37793
206.90918,194.70215
210.57129,192.8711
212.40234,195.92285
219.11621,196.5332
219.11621,203.85742
213.62305,194.0918
208.74023,191.65039
